run,n_steps,n_repeats,n_layers,axis_pool,global_pool,input_skip,best_loss,final_loss,final_change_acc,bfs_err_mean,bfs_err_l0,bfs_err_heldout,astar_err_mean,astar_err_l0,astar_err_heldout,random_err_mean,random_tf_err_mean
heroes_A_pool_shared_d16,16,16,1,True,True,False,0.07264028489589691,0.07273536175489426,1.0,0.24699511436764157,0.0038461538461538464,0.25857363629723623,0.24664086176221475,0.0038461538461538464,0.25820251452012244,0.25887801279916667,0.25525182464610535
heroes_A_pool_shared_d32,32,32,1,True,True,False,0.07196181267499924,0.0720561295747757,1.0,0.271247924335369,0.015384615384615385,0.28343189142826203,0.27162059255417437,0.015384615384615385,0.28382230575272477,0.28187337476875435,0.2760569443044468
heroes_A_pool_shared_d4,4,4,1,True,True,False,0.07534810900688171,0.07544669508934021,1.0,0.22384130371755326,0.0,0.23450041341838915,0.223959529871028,0.0,0.234624269388696,0.23762720757431047,0.21269267763538496
heroes_A_pool_shared_d8,8,8,1,True,True,False,0.0736427754163742,0.07373911142349243,1.0,0.24951998806143286,0.0,0.2614018922548344,0.24980677521251976,0.0,0.2617023359369255,0.26108395211459645,0.25781016716106625
heroes_B_pool_perstep_d16,16,1,16,True,True,False,0.07340107858181,0.07349708676338196,1.0,0.27735013513642226,0.0057692307692307696,0.2902825591539075,0.2801997283981819,0.0057692307692307696,0.2932678473328939,0.2870532678942769,0.2752303623532645
heroes_B_pool_perstep_d32,32,1,32,True,True,False,0.07065816968679428,0.07075057923793793,1.0,0.8899775663128616,0.9134615384615385,0.8888592819248293,0.8893773125980359,0.9134615384615385,0.8882304446997737,0.8829061387081117,0.8836904956986626
heroes_B_pool_perstep_d4,4,1,4,True,True,False,0.07606922835111618,0.07616876065731049,1.0,0.22431241076355413,0.0,0.23499395413324717,0.22446310918522067,0.0,0.23515182867023116,0.23418564580053092,0.22845629813631813
heroes_B_pool_perstep_d8,8,1,8,True,True,False,0.0754164531826973,0.07551512867212296,1.0,0.28381151084966477,0.0,0.2973263446996488,0.27053640737574663,0.0,0.2834190934412584,0.2933759336234861,0.23604939896655674
heroes_C_nopool_shared_d16,16,16,1,False,False,True,0.07280788570642471,0.07290317118167877,1.0,0.24381249403062377,0.0,0.2554226127939868,0.2443359221679544,0.0,0.2559709660807141,0.2604454328721561,0.24692542527125444
heroes_C_nopool_shared_d32,32,32,1,False,False,True,0.07330003380775452,0.07339615374803543,1.0,0.24235976017825064,0.0,0.2539007011391198,0.24280769804551497,0.0,0.2543699693810157,0.2541404838945049,0.24758504017627397
heroes_C_nopool_shared_d4,4,4,1,False,False,True,0.07870258390903473,0.07880581170320511,1.0,0.20343619542667274,0.0,0.21312363330413334,0.1967357505402231,0.0,0.20610411961356706,0.21699236489451276,0.15206144851929068
heroes_C_nopool_shared_d8,8,8,1,False,False,True,0.07436098903417587,0.0744582936167717,1.0,0.2553436591649109,0.0,0.26750288102990666,0.2529294484267213,0.0,0.2649737078756128,0.27291873569321123,0.2380814072014122
heroes_D_nopool_perstep_d16,16,1,16,False,False,True,0.07453222572803497,0.07463021576404572,1.0,0.2633304940510954,0.0,0.27587004138686183,0.25913182820956276,0.0,0.2714714390766848,0.27689095317491924,0.24128357079151289
heroes_D_nopool_perstep_d32,32,1,32,False,False,True,0.07273399829864502,0.0728292316198349,1.0,0.24942274298328398,0.0,0.26130001645867845,0.2497037629729662,0.0,0.26159441835263125,0.26331409677014067,0.2480370881061441
heroes_D_nopool_perstep_d4,4,1,4,False,False,True,0.07671588659286499,0.07681650668382645,1.0,0.2041463038678072,0.0,0.21386755643294086,0.20586795002859049,0.0,0.21567118574423766,0.22982810210657362,0.17069803977795986
heroes_D_nopool_perstep_d8,8,1,8,False,False,True,0.07621845602989197,0.07631822675466537,1.0,0.2396733995911341,0.0,0.2510864186192833,0.2397945014997935,0.0,0.25121328728549797,0.25067772526618676,0.2234200686204682
