arch,astar_final_cellerr,astar_first_div,astar_rollout_cellerr,best_change_acc,best_loss,bfs_final_cellerr,bfs_first_div,bfs_rollout_cellerr,final_change_acc,final_loss,games,n_params,n_steps_logged,random_final_cellerr,random_first_div,random_rollout_cellerr,random_tf_final_cellerr,random_tf_first_div,random_tf_rollout_cellerr,seed
cnn_d4,0.0,,0.0,1.0,0.10657262057065964,0.0,,0.0,1.0,0.12439551204442978,microban_authored,4998726,10000,0.0013541666666666667,47.91,0.0009288690476190478,0.00020833333333333332,47.17999999999999,6.577380952380954e-05,0
cnn_d4,0.004166666666666667,106.0,3.8940809968847354e-05,1.0,0.10949587821960449,0.004166666666666667,106.0,3.8940809968847354e-05,1.0,0.12668144702911377,microban_authored,4998726,10000,0.0022619047619047623,45.489999999999995,0.0020523809523809522,0.0,48.39,3.80952380952381e-05,1
cnn_d4,0.005555555555555555,72.0,0.001609553478712357,1.0,0.1057199090719223,0.005555555555555555,72.0,0.001609553478712357,1.0,0.1315348595380783,microban_authored,4998726,10000,0.0010416666666666667,49.58,0.0005166666666666668,0.00020833333333333332,49.2,3.80952380952381e-05,2
nca_perstep,0.0,,0.0,1.0,0.10646670311689377,0.0,,0.0,1.0,0.1242697462439537,microban_authored,7358022,10000,0.0016666666666666666,49.2,0.0009238095238095238,0.0,49.71,1.4285714285714287e-05,0
nca_perstep,0.014087301587301588,35.0,0.008480330676592358,1.0,0.10950961709022522,0.014087301587301588,35.0,0.008480330676592358,1.0,0.12669846415519714,microban_authored,7358022,10000,0.0001785714285714286,49.989999999999995,3.5714285714285718e-06,0.0,50.0,0.0,1
nca_perstep,0.0,,0.0,1.0,0.10607501119375229,0.0,,0.0,1.0,0.1319841742515564,microban_authored,7358022,10000,0.0020833333333333333,49.63,0.0008166666666666666,0.0,49.53,3.3333333333333335e-05,2
nca_shared,0.003422619047619047,64.0,8.288890376519243e-05,1.0,0.10599931329488754,0.003422619047619047,64.0,8.288890376519243e-05,1.0,0.12372312694787979,microban_authored,1944006,10000,0.0018452380952380953,49.32000000000001,0.0003773809523809524,0.0,49.910000000000004,4.761904761904762e-06,0
nca_shared,0.0,,0.0,1.0,0.10917586833238602,0.0,,0.0,1.0,0.12631240487098694,microban_authored,1944006,10000,0.0,50.0,0.0,0.0,50.0,0.0,1
nca_shared,0.0,,0.0,1.0,0.10507720708847046,0.0,,0.0,1.0,0.1307508498430252,microban_authored,1944006,10000,0.005238095238095238,46.42,0.002428571428571429,0.0,47.85,4.761904761904762e-05,2
unet_l2,0.06626984126984127,11.6,0.040572912552176287,1.0,0.10706953704357147,0.0626984126984127,11.6,0.04236662345759108,1.0,0.1249423623085022,microban_authored,6073926,10000,0.04373015873015873,36.8,0.029993452380952378,0.002321428571428572,36.04,0.0032435064935064928,0
unet_l2,0.03919853294853295,18.375,0.020305854288918665,1.0,0.10986319929361343,0.03919853294853295,18.75,0.021086424703420602,1.0,0.12708242237567902,microban_authored,6073926,10000,0.01066137566137566,38.86,0.006409656084656085,0.002056878306878307,36.48,0.0024910714285714284,1
unet_l2,0.038708513708513706,12.142857142857142,0.026650897892537363,1.0,0.10649046301841736,0.04325396825396825,10.833333333333334,0.030325423347732323,1.0,0.13240860402584076,microban_authored,6073926,10000,0.027549603174603178,35.910000000000004,0.019000066137566142,0.0010714285714285715,36.97,0.0021046296296296295,2
vit_l4,0.09528920153920153,0.8,0.08509469676382679,1.0,0.10661637037992477,0.11671777296777297,0.8,0.09885829770310042,1.0,0.12366118282079697,microban_authored,3993158,10000,0.08326268638768639,4.0,0.06066016714766714,0.01146825396825397,2.93,0.012387728475228475,0
vit_l4,0.10443272005772006,0.1,0.0899641189932294,1.0,0.10950072109699249,0.10621843434343434,0.1,0.09163642484938021,1.0,0.12660358846187592,microban_authored,3993158,10000,0.08481346200096201,0.8699999999999999,0.06473040524290524,0.018020382395382395,0.9899999999999999,0.017572354497354496,1
vit_l4,0.10594937469937468,0.5,0.08750343610712845,1.0,0.10590193420648575,0.10594937469937468,0.5,0.08897214316995963,1.0,0.13115133345127106,microban_authored,3993158,10000,0.0917039442039442,2.77,0.06997372534872534,0.016097883597883597,3.5100000000000002,0.01461970598845599,2
cnn_d4,0.12939508383431442,1.6341463414634145,0.0783650991439572,1.0000001192092896,1.7926613509189337e-05,0.12141686807425094,2.1363636363636362,0.07215116011685078,0.9848484396934509,0.029987303540110588,scaling_14,5011217,20000,0.10805710016663872,18.957575757575754,0.0772484576068907,0.004700484366629754,19.01818181818182,0.005839059522504614,0
